attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
VariableCode	User or organization-defined code to describe the variable.	character			NA	Not available
VariableName	"Full text name of the variable that was measured, observed, modeled, etc."	character			NA	Not available
VariableUnitsName	The name of units of the data values associated with a variable.	character			NA	Not available
SampleMedium	The medium in which the sample or observation was taken or made.	character			NA	Not available
ValueType	Indicates how the data value was generated.	character			NA	Not available
IsRegular	Value indicates whether the data values are from a regularly sampled time series. (TRUE or FALSE)	categorical			NA	Not available
TimeSupport	Numerical value that indicates the time support (or temporal footprint) of the data values. 0 is used to indicate data values that are instantaneous. Other values indicate the time over which the data values are implicitly or explicitly averaged or aggregated. The Timesupport goes along with TimeUnitsName if IsRegular = TRUE. 	numeric	hour		NA	Not available
TimeUnitsName	The name of units of the time support.	character			NA	Not available
DataType	Indicates how the value applies over a time interval.	character			NA	Not available
GeneralCategory	General category of data.	character			NA	Not available
NoDataValue	Numeric value used to encode when a data value is not available for this variable.	numeric	dimensionless		NA	Not available
